Test,Executor,Timing (s)
2mm,rWasm,5.195852
2mm,rWasm,5.21425
2mm,rWasm,5.207723
2mm,rWasm,5.196688
2mm,rWasm,5.180213
2mm,rWasm,5.201869
2mm,rWasm,5.166764
2mm,rWasm,5.263007
2mm,rWasm,5.30907
2mm,rWasm,5.281746
2mm,wasmtime,7.710762
2mm,wasmtime,7.561672
2mm,wasmtime,7.727918
2mm,wasmtime,7.640224
2mm,wasmtime,7.9149
2mm,wasmtime,7.829047
2mm,wasmtime,7.771974
2mm,wasmtime,7.708476
2mm,wasmtime,8.448861
2mm,wasmtime,8.381346
2mm,wasmer-js,10.041
2mm,wasmer-js,9.931000000000001
2mm,wasmer-js,9.9
2mm,wasmer-js,10.025
2mm,wasmer-js,10.01
2mm,wasmer-js,9.948
2mm,wasmer-js,9.938
2mm,wasmer-js,9.953
2mm,wasmer-js,9.994
2mm,wasmer-js,9.911
2mm,wasmer-default,5.977036
2mm,wasmer-default,5.79452
2mm,wasmer-default,5.862793
2mm,wasmer-default,5.872219
2mm,wasmer-default,6.028333
2mm,wasmer-default,5.913314
2mm,wasmer-default,5.966358
2mm,wasmer-default,5.930417
2mm,wasmer-default,5.750337
2mm,wasmer-default,5.8240490000000005
2mm,wasmer-cranelift,5.813956
2mm,wasmer-cranelift,5.7572849999999995
2mm,wasmer-cranelift,5.807071
2mm,wasmer-cranelift,5.781976
2mm,wasmer-cranelift,5.7991150000000005
2mm,wasmer-cranelift,5.963278
2mm,wasmer-cranelift,6.124218
2mm,wasmer-cranelift,5.933199
2mm,wasmer-cranelift,5.959508
2mm,wasmer-cranelift,5.800177
2mm,wasmer-jit,5.89159
2mm,wasmer-jit,5.766722
2mm,wasmer-jit,5.918984
2mm,wasmer-jit,6.321814
2mm,wasmer-jit,6.010712
2mm,wasmer-jit,6.424297
2mm,wasmer-jit,6.153014
2mm,wasmer-jit,6.192925
2mm,wasmer-jit,5.77405
2mm,wasmer-jit,5.776702
