group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
read_u64,direct,1024,,,973494.0,ns,969183
read_u64,direct,1024,,,1945364.0,ns,1938366
read_u64,direct,1024,,,2957276.0,ns,2907549
read_u64,direct,1024,,,3924660.0,ns,3876732
read_u64,direct,1024,,,4917554.0,ns,4845915
read_u64,direct,1024,,,5912988.0,ns,5815098
read_u64,direct,1024,,,6910993.0,ns,6784281
read_u64,direct,1024,,,7848216.0,ns,7753464
read_u64,direct,1024,,,8832430.0,ns,8722647
read_u64,direct,1024,,,9811521.0,ns,9691830
read_u64,direct,1024,,,10835628.0,ns,10661013
read_u64,direct,1024,,,11839508.0,ns,11630196
read_u64,direct,1024,,,12797768.0,ns,12599379
read_u64,direct,1024,,,13791303.0,ns,13568562
read_u64,direct,1024,,,14742330.0,ns,14537745
read_u64,direct,1024,,,15712475.0,ns,15506928
read_u64,direct,1024,,,16745225.0,ns,16476111
read_u64,direct,1024,,,17690855.0,ns,17445294
read_u64,direct,1024,,,18689534.0,ns,18414477
read_u64,direct,1024,,,19660126.0,ns,19383660
read_u64,direct,1024,,,20674923.0,ns,20352843
read_u64,direct,1024,,,21567585.0,ns,21322026
read_u64,direct,1024,,,22668198.0,ns,22291209
read_u64,direct,1024,,,23641634.0,ns,23260392
read_u64,direct,1024,,,24678206.0,ns,24229575
read_u64,direct,1024,,,25609587.0,ns,25198758
read_u64,direct,1024,,,26558330.0,ns,26167941
read_u64,direct,1024,,,27544504.0,ns,27137124
read_u64,direct,1024,,,28426452.0,ns,28106307
read_u64,direct,1024,,,29538352.0,ns,29075490
read_u64,direct,1024,,,30539153.0,ns,30044673
read_u64,direct,1024,,,31480641.0,ns,31013856
read_u64,direct,1024,,,32602119.0,ns,31983039
read_u64,direct,1024,,,33458609.0,ns,32952222
read_u64,direct,1024,,,34424745.0,ns,33921405
read_u64,direct,1024,,,35429676.0,ns,34890588
read_u64,direct,1024,,,36361764.0,ns,35859771
read_u64,direct,1024,,,37357258.0,ns,36828954
read_u64,direct,1024,,,38249090.0,ns,37798137
read_u64,direct,1024,,,39263812.0,ns,38767320
read_u64,direct,1024,,,40291557.0,ns,39736503
read_u64,direct,1024,,,41242237.0,ns,40705686
read_u64,direct,1024,,,42380355.0,ns,41674869
read_u64,direct,1024,,,43337274.0,ns,42644052
read_u64,direct,1024,,,44335555.0,ns,43613235
read_u64,direct,1024,,,45532323.0,ns,44582418
read_u64,direct,1024,,,46301838.0,ns,45551601
read_u64,direct,1024,,,47348559.0,ns,46520784
read_u64,direct,1024,,,48406148.0,ns,47489967
read_u64,direct,1024,,,49347332.0,ns,48459150
read_u64,direct,1024,,,50217910.0,ns,49428333
read_u64,direct,1024,,,51226434.0,ns,50397516
read_u64,direct,1024,,,52180661.0,ns,51366699
read_u64,direct,1024,,,53171049.0,ns,52335882
read_u64,direct,1024,,,54213160.0,ns,53305065
read_u64,direct,1024,,,55097148.0,ns,54274248
read_u64,direct,1024,,,55942612.0,ns,55243431
read_u64,direct,1024,,,57014911.0,ns,56212614
read_u64,direct,1024,,,57939949.0,ns,57181797
read_u64,direct,1024,,,58993662.0,ns,58150980
read_u64,direct,1024,,,60279335.0,ns,59120163
read_u64,direct,1024,,,61205471.0,ns,60089346
read_u64,direct,1024,,,62015531.0,ns,61058529
read_u64,direct,1024,,,63069869.0,ns,62027712
read_u64,direct,1024,,,63737420.0,ns,62996895
read_u64,direct,1024,,,64829212.0,ns,63966078
read_u64,direct,1024,,,65879255.0,ns,64935261
read_u64,direct,1024,,,66862602.0,ns,65904444
read_u64,direct,1024,,,67969082.0,ns,66873627
read_u64,direct,1024,,,68962495.0,ns,67842810
read_u64,direct,1024,,,69762519.0,ns,68811993
read_u64,direct,1024,,,70814876.0,ns,69781176
read_u64,direct,1024,,,71708845.0,ns,70750359
read_u64,direct,1024,,,72905532.0,ns,71719542
read_u64,direct,1024,,,73756575.0,ns,72688725
read_u64,direct,1024,,,74699258.0,ns,73657908
read_u64,direct,1024,,,75769531.0,ns,74627091
read_u64,direct,1024,,,76835523.0,ns,75596274
read_u64,direct,1024,,,77775539.0,ns,76565457
read_u64,direct,1024,,,78838022.0,ns,77534640
read_u64,direct,1024,,,79670863.0,ns,78503823
read_u64,direct,1024,,,80536336.0,ns,79473006
read_u64,direct,1024,,,81526043.0,ns,80442189
read_u64,direct,1024,,,82616230.0,ns,81411372
read_u64,direct,1024,,,83881235.0,ns,82380555
read_u64,direct,1024,,,88461027.0,ns,83349738
read_u64,direct,1024,,,97460609.0,ns,84318921
read_u64,direct,1024,,,112569837.0,ns,85288104
read_u64,direct,1024,,,98892000.0,ns,86257287
read_u64,direct,1024,,,96105108.0,ns,87226470
read_u64,direct,1024,,,95315682.0,ns,88195653
read_u64,direct,1024,,,91567354.0,ns,89164836
read_u64,direct,1024,,,91722949.0,ns,90134019
read_u64,direct,1024,,,92551034.0,ns,91103202
read_u64,direct,1024,,,93568958.0,ns,92072385
read_u64,direct,1024,,,94603526.0,ns,93041568
read_u64,direct,1024,,,95590113.0,ns,94010751
read_u64,direct,1024,,,96634049.0,ns,94979934
read_u64,direct,1024,,,97667882.0,ns,95949117
read_u64,direct,1024,,,98495495.0,ns,96918300
