group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
read_u64,direct_unsafe,1024,,,993301.0,ns,951744
read_u64,direct_unsafe,1024,,,2033980.0,ns,1903488
read_u64,direct_unsafe,1024,,,2984685.0,ns,2855232
read_u64,direct_unsafe,1024,,,4046209.0,ns,3806976
read_u64,direct_unsafe,1024,,,5104293.0,ns,4758720
read_u64,direct_unsafe,1024,,,6014677.0,ns,5710464
read_u64,direct_unsafe,1024,,,7027878.0,ns,6662208
read_u64,direct_unsafe,1024,,,7998473.0,ns,7613952
read_u64,direct_unsafe,1024,,,9028217.0,ns,8565696
read_u64,direct_unsafe,1024,,,10061327.0,ns,9517440
read_u64,direct_unsafe,1024,,,11004011.0,ns,10469184
read_u64,direct_unsafe,1024,,,12041033.0,ns,11420928
read_u64,direct_unsafe,1024,,,13004568.0,ns,12372672
read_u64,direct_unsafe,1024,,,13988293.0,ns,13324416
read_u64,direct_unsafe,1024,,,14952278.0,ns,14276160
read_u64,direct_unsafe,1024,,,15952288.0,ns,15227904
read_u64,direct_unsafe,1024,,,17001201.0,ns,16179648
read_u64,direct_unsafe,1024,,,18008997.0,ns,17131392
read_u64,direct_unsafe,1024,,,18931971.0,ns,18083136
read_u64,direct_unsafe,1024,,,19922846.0,ns,19034880
read_u64,direct_unsafe,1024,,,21005757.0,ns,19986624
read_u64,direct_unsafe,1024,,,22055463.0,ns,20938368
read_u64,direct_unsafe,1024,,,23035937.0,ns,21890112
read_u64,direct_unsafe,1024,,,24190253.0,ns,22841856
read_u64,direct_unsafe,1024,,,24988489.0,ns,23793600
read_u64,direct_unsafe,1024,,,26039615.0,ns,24745344
read_u64,direct_unsafe,1024,,,27072855.0,ns,25697088
read_u64,direct_unsafe,1024,,,28036081.0,ns,26648832
read_u64,direct_unsafe,1024,,,28978166.0,ns,27600576
read_u64,direct_unsafe,1024,,,29939247.0,ns,28552320
read_u64,direct_unsafe,1024,,,30973104.0,ns,29504064
read_u64,direct_unsafe,1024,,,32045773.0,ns,30455808
read_u64,direct_unsafe,1024,,,32981065.0,ns,31407552
read_u64,direct_unsafe,1024,,,34219740.0,ns,32359296
read_u64,direct_unsafe,1024,,,34920004.0,ns,33311040
read_u64,direct_unsafe,1024,,,35850229.0,ns,34262784
read_u64,direct_unsafe,1024,,,36897530.0,ns,35214528
read_u64,direct_unsafe,1024,,,37857007.0,ns,36166272
read_u64,direct_unsafe,1024,,,38892353.0,ns,37118016
read_u64,direct_unsafe,1024,,,39842166.0,ns,38069760
read_u64,direct_unsafe,1024,,,40863273.0,ns,39021504
read_u64,direct_unsafe,1024,,,41865462.0,ns,39973248
read_u64,direct_unsafe,1024,,,41794300.0,ns,40924992
read_u64,direct_unsafe,1024,,,42551227.0,ns,41876736
read_u64,direct_unsafe,1024,,,43654016.0,ns,42828480
read_u64,direct_unsafe,1024,,,45633422.0,ns,43780224
read_u64,direct_unsafe,1024,,,46549395.0,ns,44731968
read_u64,direct_unsafe,1024,,,47825484.0,ns,45683712
read_u64,direct_unsafe,1024,,,48821358.0,ns,46635456
read_u64,direct_unsafe,1024,,,49800138.0,ns,47587200
read_u64,direct_unsafe,1024,,,50829931.0,ns,48538944
read_u64,direct_unsafe,1024,,,51913173.0,ns,49490688
read_u64,direct_unsafe,1024,,,52797941.0,ns,50442432
read_u64,direct_unsafe,1024,,,53781930.0,ns,51394176
read_u64,direct_unsafe,1024,,,54796366.0,ns,52345920
read_u64,direct_unsafe,1024,,,55795078.0,ns,53297664
read_u64,direct_unsafe,1024,,,56786920.0,ns,54249408
