group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
read_u64,fixed-direct,1024,,,986680.0,ns,822192
read_u64,fixed-direct,1024,,,1974470.0,ns,1644384
read_u64,fixed-direct,1024,,,2959989.0,ns,2466576
read_u64,fixed-direct,1024,,,3949041.0,ns,3288768
read_u64,fixed-direct,1024,,,4935095.0,ns,4110960
read_u64,fixed-direct,1024,,,5920823.0,ns,4933152
read_u64,fixed-direct,1024,,,6908349.0,ns,5755344
read_u64,fixed-direct,1024,,,7895184.0,ns,6577536
read_u64,fixed-direct,1024,,,8918527.0,ns,7399728
read_u64,fixed-direct,1024,,,9869230.0,ns,8221920
read_u64,fixed-direct,1024,,,10894324.0,ns,9044112
read_u64,fixed-direct,1024,,,11843067.0,ns,9866304
read_u64,fixed-direct,1024,,,12830440.0,ns,10688496
read_u64,fixed-direct,1024,,,13816618.0,ns,11510688
read_u64,fixed-direct,1024,,,14807418.0,ns,12332880
read_u64,fixed-direct,1024,,,15789939.0,ns,13155072
read_u64,fixed-direct,1024,,,16776629.0,ns,13977264
read_u64,fixed-direct,1024,,,17792097.0,ns,14799456
read_u64,fixed-direct,1024,,,18792348.0,ns,15621648
read_u64,fixed-direct,1024,,,19737739.0,ns,16443840
read_u64,fixed-direct,1024,,,20724374.0,ns,17266032
read_u64,fixed-direct,1024,,,21712057.0,ns,18088224
read_u64,fixed-direct,1024,,,22700006.0,ns,18910416
read_u64,fixed-direct,1024,,,23722787.0,ns,19732608
read_u64,fixed-direct,1024,,,24672853.0,ns,20554800
read_u64,fixed-direct,1024,,,25662662.0,ns,21376992
read_u64,fixed-direct,1024,,,26644872.0,ns,22199184
read_u64,fixed-direct,1024,,,27632975.0,ns,23021376
read_u64,fixed-direct,1024,,,28656011.0,ns,23843568
read_u64,fixed-direct,1024,,,29608219.0,ns,24665760
read_u64,fixed-direct,1024,,,30594133.0,ns,25487952
read_u64,fixed-direct,1024,,,31608881.0,ns,26310144
read_u64,fixed-direct,1024,,,32605682.0,ns,27132336
read_u64,fixed-direct,1024,,,33554730.0,ns,27954528
read_u64,fixed-direct,1024,,,34540277.0,ns,28776720
read_u64,fixed-direct,1024,,,35564751.0,ns,29598912
read_u64,fixed-direct,1024,,,36585674.0,ns,30421104
read_u64,fixed-direct,1024,,,37539737.0,ns,31243296
read_u64,fixed-direct,1024,,,38528864.0,ns,32065488
read_u64,fixed-direct,1024,,,39512857.0,ns,32887680
read_u64,fixed-direct,1024,,,40463844.0,ns,33709872
read_u64,fixed-direct,1024,,,41455504.0,ns,34532064
read_u64,fixed-direct,1024,,,42473261.0,ns,35354256
read_u64,fixed-direct,1024,,,43438378.0,ns,36176448
read_u64,fixed-direct,1024,,,44453624.0,ns,36998640
read_u64,fixed-direct,1024,,,45443822.0,ns,37820832
read_u64,fixed-direct,1024,,,46386335.0,ns,38643024
read_u64,fixed-direct,1024,,,47408293.0,ns,39465216
read_u64,fixed-direct,1024,,,48399397.0,ns,40287408
read_u64,fixed-direct,1024,,,49386413.0,ns,41109600
read_u64,fixed-direct,1024,,,50331236.0,ns,41931792
read_u64,fixed-direct,1024,,,51319331.0,ns,42753984
read_u64,fixed-direct,1024,,,52372081.0,ns,43576176
read_u64,fixed-direct,1024,,,53291552.0,ns,44398368
read_u64,fixed-direct,1024,,,54383128.0,ns,45220560
read_u64,fixed-direct,1024,,,55293933.0,ns,46042752
read_u64,fixed-direct,1024,,,56291943.0,ns,46864944
read_u64,fixed-direct,1024,,,57259017.0,ns,47687136
read_u64,fixed-direct,1024,,,58304293.0,ns,48509328
read_u64,fixed-direct,1024,,,59251705.0,ns,49331520
read_u64,fixed-direct,1024,,,60305786.0,ns,50153712
read_u64,fixed-direct,1024,,,61187893.0,ns,50975904
read_u64,fixed-direct,1024,,,62215657.0,ns,51798096
read_u64,fixed-direct,1024,,,63169194.0,ns,52620288
read_u64,fixed-direct,1024,,,64186070.0,ns,53442480
read_u64,fixed-direct,1024,,,65230829.0,ns,54264672
read_u64,fixed-direct,1024,,,66160775.0,ns,55086864
read_u64,fixed-direct,1024,,,67112152.0,ns,55909056
read_u64,fixed-direct,1024,,,68171260.0,ns,56731248
read_u64,fixed-direct,1024,,,69085612.0,ns,57553440
read_u64,fixed-direct,1024,,,70107431.0,ns,58375632
read_u64,fixed-direct,1024,,,71097346.0,ns,59197824
read_u64,fixed-direct,1024,,,72045471.0,ns,60020016
read_u64,fixed-direct,1024,,,73143222.0,ns,60842208
read_u64,fixed-direct,1024,,,74065405.0,ns,61664400
read_u64,fixed-direct,1024,,,75044140.0,ns,62486592
read_u64,fixed-direct,1024,,,76027803.0,ns,63308784
read_u64,fixed-direct,1024,,,77119397.0,ns,64130976
read_u64,fixed-direct,1024,,,78005611.0,ns,64953168
read_u64,fixed-direct,1024,,,78991247.0,ns,65775360
read_u64,fixed-direct,1024,,,80008910.0,ns,66597552
read_u64,fixed-direct,1024,,,80963886.0,ns,67419744
read_u64,fixed-direct,1024,,,82063111.0,ns,68241936
read_u64,fixed-direct,1024,,,82942595.0,ns,69064128
read_u64,fixed-direct,1024,,,83886051.0,ns,69886320
read_u64,fixed-direct,1024,,,84929191.0,ns,70708512
read_u64,fixed-direct,1024,,,85902434.0,ns,71530704
read_u64,fixed-direct,1024,,,86976350.0,ns,72352896
read_u64,fixed-direct,1024,,,87867072.0,ns,73175088
read_u64,fixed-direct,1024,,,88833771.0,ns,73997280
read_u64,fixed-direct,1024,,,89870590.0,ns,74819472
read_u64,fixed-direct,1024,,,90836502.0,ns,75641664
read_u64,fixed-direct,1024,,,91781746.0,ns,76463856
read_u64,fixed-direct,1024,,,92876409.0,ns,77286048
read_u64,fixed-direct,1024,,,93758800.0,ns,78108240
read_u64,fixed-direct,1024,,,94813176.0,ns,78930432
read_u64,fixed-direct,1024,,,95797527.0,ns,79752624
read_u64,fixed-direct,1024,,,96874618.0,ns,80574816
read_u64,fixed-direct,1024,,,97703104.0,ns,81397008
read_u64,fixed-direct,1024,,,98733993.0,ns,82219200
