group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
read_u64,fixed-direct_unsafe,1024,,,987071.0,ns,983137
read_u64,fixed-direct_unsafe,1024,,,1975192.0,ns,1966274
read_u64,fixed-direct_unsafe,1024,,,2973474.0,ns,2949411
read_u64,fixed-direct_unsafe,1024,,,3945819.0,ns,3932548
read_u64,fixed-direct_unsafe,1024,,,4940849.0,ns,4915685
read_u64,fixed-direct_unsafe,1024,,,5922338.0,ns,5898822
read_u64,fixed-direct_unsafe,1024,,,6944389.0,ns,6881959
read_u64,fixed-direct_unsafe,1024,,,7902409.0,ns,7865096
read_u64,fixed-direct_unsafe,1024,,,8919312.0,ns,8848233
read_u64,fixed-direct_unsafe,1024,,,9883863.0,ns,9831370
read_u64,fixed-direct_unsafe,1024,,,10850318.0,ns,10814507
read_u64,fixed-direct_unsafe,1024,,,11893248.0,ns,11797644
read_u64,fixed-direct_unsafe,1024,,,12843448.0,ns,12780781
read_u64,fixed-direct_unsafe,1024,,,13827980.0,ns,13763918
read_u64,fixed-direct_unsafe,1024,,,14800195.0,ns,14747055
read_u64,fixed-direct_unsafe,1024,,,15807925.0,ns,15730192
read_u64,fixed-direct_unsafe,1024,,,16774338.0,ns,16713329
read_u64,fixed-direct_unsafe,1024,,,17808296.0,ns,17696466
read_u64,fixed-direct_unsafe,1024,,,18764532.0,ns,18679603
read_u64,fixed-direct_unsafe,1024,,,19786925.0,ns,19662740
read_u64,fixed-direct_unsafe,1024,,,20730496.0,ns,20645877
read_u64,fixed-direct_unsafe,1024,,,21721375.0,ns,21629014
read_u64,fixed-direct_unsafe,1024,,,22714369.0,ns,22612151
read_u64,fixed-direct_unsafe,1024,,,23739126.0,ns,23595288
read_u64,fixed-direct_unsafe,1024,,,24694518.0,ns,24578425
read_u64,fixed-direct_unsafe,1024,,,25667795.0,ns,25561562
read_u64,fixed-direct_unsafe,1024,,,26672834.0,ns,26544699
read_u64,fixed-direct_unsafe,1024,,,27651699.0,ns,27527836
read_u64,fixed-direct_unsafe,1024,,,28667017.0,ns,28510973
read_u64,fixed-direct_unsafe,1024,,,29615182.0,ns,29494110
read_u64,fixed-direct_unsafe,1024,,,31199863.0,ns,30477247
read_u64,fixed-direct_unsafe,1024,,,31945883.0,ns,31460384
read_u64,fixed-direct_unsafe,1024,,,32839439.0,ns,32443521
read_u64,fixed-direct_unsafe,1024,,,33603174.0,ns,33426658
read_u64,fixed-direct_unsafe,1024,,,34539837.0,ns,34409795
read_u64,fixed-direct_unsafe,1024,,,35590298.0,ns,35392932
read_u64,fixed-direct_unsafe,1024,,,36599422.0,ns,36376069
read_u64,fixed-direct_unsafe,1024,,,37546721.0,ns,37359206
read_u64,fixed-direct_unsafe,1024,,,38563435.0,ns,38342343
read_u64,fixed-direct_unsafe,1024,,,39494664.0,ns,39325480
read_u64,fixed-direct_unsafe,1024,,,40497503.0,ns,40308617
read_u64,fixed-direct_unsafe,1024,,,41502798.0,ns,41291754
read_u64,fixed-direct_unsafe,1024,,,42464598.0,ns,42274891
read_u64,fixed-direct_unsafe,1024,,,43409211.0,ns,43258028
read_u64,fixed-direct_unsafe,1024,,,44543413.0,ns,44241165
read_u64,fixed-direct_unsafe,1024,,,45477314.0,ns,45224302
read_u64,fixed-direct_unsafe,1024,,,46414476.0,ns,46207439
read_u64,fixed-direct_unsafe,1024,,,47403508.0,ns,47190576
read_u64,fixed-direct_unsafe,1024,,,48390977.0,ns,48173713
read_u64,fixed-direct_unsafe,1024,,,49365917.0,ns,49156850
read_u64,fixed-direct_unsafe,1024,,,50316820.0,ns,50139987
read_u64,fixed-direct_unsafe,1024,,,51534172.0,ns,51123124
read_u64,fixed-direct_unsafe,1024,,,52402071.0,ns,52106261
read_u64,fixed-direct_unsafe,1024,,,53296069.0,ns,53089398
read_u64,fixed-direct_unsafe,1024,,,54383409.0,ns,54072535
read_u64,fixed-direct_unsafe,1024,,,55276222.0,ns,55055672
read_u64,fixed-direct_unsafe,1024,,,56324250.0,ns,56038809
read_u64,fixed-direct_unsafe,1024,,,57289368.0,ns,57021946
read_u64,fixed-direct_unsafe,1024,,,58295492.0,ns,58005083
read_u64,fixed-direct_unsafe,1024,,,59259411.0,ns,58988220
read_u64,fixed-direct_unsafe,1024,,,60292813.0,ns,59971357
read_u64,fixed-direct_unsafe,1024,,,61205004.0,ns,60954494
read_u64,fixed-direct_unsafe,1024,,,62272214.0,ns,61937631
read_u64,fixed-direct_unsafe,1024,,,63238660.0,ns,62920768
read_u64,fixed-direct_unsafe,1024,,,64246500.0,ns,63903905
read_u64,fixed-direct_unsafe,1024,,,65195983.0,ns,64887042
read_u64,fixed-direct_unsafe,1024,,,66250135.0,ns,65870179
read_u64,fixed-direct_unsafe,1024,,,67122200.0,ns,66853316
read_u64,fixed-direct_unsafe,1024,,,68187046.0,ns,67836453
read_u64,fixed-direct_unsafe,1024,,,69369790.0,ns,68819590
read_u64,fixed-direct_unsafe,1024,,,70189969.0,ns,69802727
read_u64,fixed-direct_unsafe,1024,,,71114945.0,ns,70785864
read_u64,fixed-direct_unsafe,1024,,,72071545.0,ns,71769001
read_u64,fixed-direct_unsafe,1024,,,73164729.0,ns,72752138
read_u64,fixed-direct_unsafe,1024,,,74080708.0,ns,73735275
read_u64,fixed-direct_unsafe,1024,,,75090986.0,ns,74718412
read_u64,fixed-direct_unsafe,1024,,,76086599.0,ns,75701549
read_u64,fixed-direct_unsafe,1024,,,77179063.0,ns,76684686
read_u64,fixed-direct_unsafe,1024,,,78075902.0,ns,77667823
read_u64,fixed-direct_unsafe,1024,,,79043312.0,ns,78650960
read_u64,fixed-direct_unsafe,1024,,,79964981.0,ns,79634097
read_u64,fixed-direct_unsafe,1024,,,81064707.0,ns,80617234
read_u64,fixed-direct_unsafe,1024,,,81971424.0,ns,81600371
read_u64,fixed-direct_unsafe,1024,,,82979393.0,ns,82583508
read_u64,fixed-direct_unsafe,1024,,,83984134.0,ns,83566645
read_u64,fixed-direct_unsafe,1024,,,84980246.0,ns,84549782
read_u64,fixed-direct_unsafe,1024,,,85870339.0,ns,85532919
read_u64,fixed-direct_unsafe,1024,,,86921400.0,ns,86516056
read_u64,fixed-direct_unsafe,1024,,,87995926.0,ns,87499193
read_u64,fixed-direct_unsafe,1024,,,89022723.0,ns,88482330
read_u64,fixed-direct_unsafe,1024,,,89859139.0,ns,89465467
read_u64,fixed-direct_unsafe,1024,,,91293032.0,ns,90448604
read_u64,fixed-direct_unsafe,1024,,,92034729.0,ns,91431741
read_u64,fixed-direct_unsafe,1024,,,92875768.0,ns,92414878
read_u64,fixed-direct_unsafe,1024,,,93888428.0,ns,93398015
read_u64,fixed-direct_unsafe,1024,,,94863084.0,ns,94381152
read_u64,fixed-direct_unsafe,1024,,,95846443.0,ns,95364289
read_u64,fixed-direct_unsafe,1024,,,96833536.0,ns,96347426
read_u64,fixed-direct_unsafe,1024,,,97735677.0,ns,97330563
read_u64,fixed-direct_unsafe,1024,,,98861455.0,ns,98313700
