group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
read_u64,direct,1024,,,996500.0,ns,1033175
read_u64,direct,1024,,,1971900.0,ns,2066350
read_u64,direct,1024,,,2975700.0,ns,3099525
read_u64,direct,1024,,,3946000.0,ns,4132700
read_u64,direct,1024,,,4924200.0,ns,5165875
read_u64,direct,1024,,,5926000.0,ns,6199050
read_u64,direct,1024,,,6902700.0,ns,7232225
read_u64,direct,1024,,,7884600.0,ns,8265400
read_u64,direct,1024,,,8881600.0,ns,9298575
read_u64,direct,1024,,,9910500.0,ns,10331750
read_u64,direct,1024,,,10829100.0,ns,11364925
read_u64,direct,1024,,,11839400.0,ns,12398100
read_u64,direct,1024,,,12822400.0,ns,13431275
read_u64,direct,1024,,,13809000.0,ns,14464450
read_u64,direct,1024,,,14783100.0,ns,15497625
read_u64,direct,1024,,,15789600.0,ns,16530800
read_u64,direct,1024,,,16773000.0,ns,17563975
read_u64,direct,1024,,,17760200.0,ns,18597150
read_u64,direct,1024,,,18760500.0,ns,19630325
read_u64,direct,1024,,,19751300.0,ns,20663500
read_u64,direct,1024,,,20712200.0,ns,21696675
read_u64,direct,1024,,,21728400.0,ns,22729850
read_u64,direct,1024,,,22708100.0,ns,23763025
read_u64,direct,1024,,,23699800.0,ns,24796200
read_u64,direct,1024,,,24663900.0,ns,25829375
read_u64,direct,1024,,,25640300.0,ns,26862550
read_u64,direct,1024,,,26648300.0,ns,27895725
read_u64,direct,1024,,,27642600.0,ns,28928900
read_u64,direct,1024,,,28626300.0,ns,29962075
read_u64,direct,1024,,,29685100.0,ns,30995250
read_u64,direct,1024,,,30544700.0,ns,32028425
read_u64,direct,1024,,,31468200.0,ns,33061600
read_u64,direct,1024,,,32553300.0,ns,34094775
read_u64,direct,1024,,,33569600.0,ns,35127950
read_u64,direct,1024,,,34545700.0,ns,36161125
read_u64,direct,1024,,,35540200.0,ns,37194300
read_u64,direct,1024,,,36510600.0,ns,38227475
read_u64,direct,1024,,,37506000.0,ns,39260650
read_u64,direct,1024,,,38484200.0,ns,40293825
read_u64,direct,1024,,,39502900.0,ns,41327000
read_u64,direct,1024,,,40476500.0,ns,42360175
read_u64,direct,1024,,,41504000.0,ns,43393350
read_u64,direct,1024,,,42446800.0,ns,44426525
read_u64,direct,1024,,,43387100.0,ns,45459700
read_u64,direct,1024,,,44473400.0,ns,46492875
read_u64,direct,1024,,,45372900.0,ns,47526050
read_u64,direct,1024,,,46375000.0,ns,48559225
read_u64,direct,1024,,,47390500.0,ns,49592400
read_u64,direct,1024,,,48358700.0,ns,50625575
read_u64,direct,1024,,,49348000.0,ns,51658750
read_u64,direct,1024,,,50320600.0,ns,52691925
read_u64,direct,1024,,,51444100.0,ns,53725100
read_u64,direct,1024,,,52311300.0,ns,54758275
read_u64,direct,1024,,,53279000.0,ns,55791450
read_u64,direct,1024,,,54251100.0,ns,56824625
read_u64,direct,1024,,,55263700.0,ns,57857800
read_u64,direct,1024,,,56280400.0,ns,58890975
read_u64,direct,1024,,,57329500.0,ns,59924150
read_u64,direct,1024,,,58059000.0,ns,60957325
read_u64,direct,1024,,,59171100.0,ns,61990500
read_u64,direct,1024,,,60204000.0,ns,63023675
read_u64,direct,1024,,,61213800.0,ns,64056850
read_u64,direct,1024,,,62354100.0,ns,65090025
read_u64,direct,1024,,,63153700.0,ns,66123200
read_u64,direct,1024,,,64142100.0,ns,67156375
read_u64,direct,1024,,,65149600.0,ns,68189550
read_u64,direct,1024,,,66156800.0,ns,69222725
read_u64,direct,1024,,,67088300.0,ns,70255900
read_u64,direct,1024,,,68039800.0,ns,71289075
read_u64,direct,1024,,,69143100.0,ns,72322250
read_u64,direct,1024,,,70044000.0,ns,73355425
read_u64,direct,1024,,,71063500.0,ns,74388600
read_u64,direct,1024,,,72033500.0,ns,75421775
read_u64,direct,1024,,,73066700.0,ns,76454950
read_u64,direct,1024,,,74055300.0,ns,77488125
read_u64,direct,1024,,,75067500.0,ns,78521300
read_u64,direct,1024,,,75858100.0,ns,79554475
read_u64,direct,1024,,,76987000.0,ns,80587650
read_u64,direct,1024,,,78014400.0,ns,81620825
read_u64,direct,1024,,,78935900.0,ns,82654000
read_u64,direct,1024,,,79979200.0,ns,83687175
read_u64,direct,1024,,,80910300.0,ns,84720350
read_u64,direct,1024,,,81956600.0,ns,85753525
read_u64,direct,1024,,,82877500.0,ns,86786700
read_u64,direct,1024,,,83902400.0,ns,87819875
read_u64,direct,1024,,,84907600.0,ns,88853050
read_u64,direct,1024,,,86008400.0,ns,89886225
read_u64,direct,1024,,,86877300.0,ns,90919400
read_u64,direct,1024,,,87863900.0,ns,91952575
read_u64,direct,1024,,,88840400.0,ns,92985750
read_u64,direct,1024,,,90005400.0,ns,94018925
read_u64,direct,1024,,,90680000.0,ns,95052100
read_u64,direct,1024,,,91796900.0,ns,96085275
read_u64,direct,1024,,,92771600.0,ns,97118450
read_u64,direct,1024,,,93767200.0,ns,98151625
read_u64,direct,1024,,,94757200.0,ns,99184800
read_u64,direct,1024,,,95724800.0,ns,100217975
read_u64,direct,1024,,,96710400.0,ns,101251150
read_u64,direct,1024,,,97713900.0,ns,102284325
read_u64,direct,1024,,,98744800.0,ns,103317500
