group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
read_u64,direct_unsafe,1024,,,979300.0,ns,1054011
read_u64,direct_unsafe,1024,,,1980000.0,ns,2108022
read_u64,direct_unsafe,1024,,,2954200.0,ns,3162033
read_u64,direct_unsafe,1024,,,3936700.0,ns,4216044
read_u64,direct_unsafe,1024,,,4942900.0,ns,5270055
read_u64,direct_unsafe,1024,,,5906600.0,ns,6324066
read_u64,direct_unsafe,1024,,,6884900.0,ns,7378077
read_u64,direct_unsafe,1024,,,7894500.0,ns,8432088
read_u64,direct_unsafe,1024,,,8858900.0,ns,9486099
read_u64,direct_unsafe,1024,,,9852500.0,ns,10540110
read_u64,direct_unsafe,1024,,,10862400.0,ns,11594121
read_u64,direct_unsafe,1024,,,11833400.0,ns,12648132
read_u64,direct_unsafe,1024,,,12839800.0,ns,13702143
read_u64,direct_unsafe,1024,,,13766000.0,ns,14756154
read_u64,direct_unsafe,1024,,,14786600.0,ns,15810165
read_u64,direct_unsafe,1024,,,15796500.0,ns,16864176
read_u64,direct_unsafe,1024,,,16708500.0,ns,17918187
read_u64,direct_unsafe,1024,,,17768900.0,ns,18972198
read_u64,direct_unsafe,1024,,,18705500.0,ns,20026209
read_u64,direct_unsafe,1024,,,19759100.0,ns,21080220
read_u64,direct_unsafe,1024,,,20650000.0,ns,22134231
read_u64,direct_unsafe,1024,,,21681500.0,ns,23188242
read_u64,direct_unsafe,1024,,,22662600.0,ns,24242253
read_u64,direct_unsafe,1024,,,23635400.0,ns,25296264
read_u64,direct_unsafe,1024,,,24625000.0,ns,26350275
read_u64,direct_unsafe,1024,,,25578700.0,ns,27404286
read_u64,direct_unsafe,1024,,,26575000.0,ns,28458297
read_u64,direct_unsafe,1024,,,27597400.0,ns,29512308
read_u64,direct_unsafe,1024,,,28579000.0,ns,30566319
read_u64,direct_unsafe,1024,,,29542600.0,ns,31620330
read_u64,direct_unsafe,1024,,,30554600.0,ns,32674341
