group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
read_u64,fixed-direct,1024,,,992000.0,ns,845679
read_u64,fixed-direct,1024,,,1973000.0,ns,1691358
read_u64,fixed-direct,1024,,,2991800.0,ns,2537037
read_u64,fixed-direct,1024,,,3964500.0,ns,3382716
read_u64,fixed-direct,1024,,,4947500.0,ns,4228395
read_u64,fixed-direct,1024,,,5939400.0,ns,5074074
read_u64,fixed-direct,1024,,,6948700.0,ns,5919753
read_u64,fixed-direct,1024,,,7923100.0,ns,6765432
read_u64,fixed-direct,1024,,,8901600.0,ns,7611111
read_u64,fixed-direct,1024,,,9901700.0,ns,8456790
read_u64,fixed-direct,1024,,,10864400.0,ns,9302469
read_u64,fixed-direct,1024,,,11901100.0,ns,10148148
read_u64,fixed-direct,1024,,,12876900.0,ns,10993827
read_u64,fixed-direct,1024,,,13856600.0,ns,11839506
read_u64,fixed-direct,1024,,,14986400.0,ns,12685185
read_u64,fixed-direct,1024,,,15834300.0,ns,13530864
read_u64,fixed-direct,1024,,,16993100.0,ns,14376543
read_u64,fixed-direct,1024,,,17813800.0,ns,15222222
read_u64,fixed-direct,1024,,,18842100.0,ns,16067901
read_u64,fixed-direct,1024,,,19831300.0,ns,16913580
read_u64,fixed-direct,1024,,,20816300.0,ns,17759259
read_u64,fixed-direct,1024,,,21785400.0,ns,18604938
read_u64,fixed-direct,1024,,,22769200.0,ns,19450617
read_u64,fixed-direct,1024,,,23768400.0,ns,20296296
read_u64,fixed-direct,1024,,,24762100.0,ns,21141975
read_u64,fixed-direct,1024,,,25768000.0,ns,21987654
read_u64,fixed-direct,1024,,,26850900.0,ns,22833333
read_u64,fixed-direct,1024,,,27735700.0,ns,23679012
read_u64,fixed-direct,1024,,,28732700.0,ns,24524691
read_u64,fixed-direct,1024,,,29697200.0,ns,25370370
read_u64,fixed-direct,1024,,,30693800.0,ns,26216049
read_u64,fixed-direct,1024,,,31685700.0,ns,27061728
read_u64,fixed-direct,1024,,,32699000.0,ns,27907407
read_u64,fixed-direct,1024,,,33893300.0,ns,28753086
read_u64,fixed-direct,1024,,,34858600.0,ns,29598765
read_u64,fixed-direct,1024,,,35875800.0,ns,30444444
read_u64,fixed-direct,1024,,,36885900.0,ns,31290123
read_u64,fixed-direct,1024,,,37944900.0,ns,32135802
read_u64,fixed-direct,1024,,,38848200.0,ns,32981481
read_u64,fixed-direct,1024,,,39885400.0,ns,33827160
read_u64,fixed-direct,1024,,,40853300.0,ns,34672839
read_u64,fixed-direct,1024,,,41836200.0,ns,35518518
read_u64,fixed-direct,1024,,,42884200.0,ns,36364197
read_u64,fixed-direct,1024,,,43853900.0,ns,37209876
read_u64,fixed-direct,1024,,,44931300.0,ns,38055555
read_u64,fixed-direct,1024,,,45809200.0,ns,38901234
read_u64,fixed-direct,1024,,,46816300.0,ns,39746913
read_u64,fixed-direct,1024,,,47839900.0,ns,40592592
read_u64,fixed-direct,1024,,,48618200.0,ns,41438271
read_u64,fixed-direct,1024,,,49574300.0,ns,42283950
read_u64,fixed-direct,1024,,,50848500.0,ns,43129629
read_u64,fixed-direct,1024,,,51815600.0,ns,43975308
read_u64,fixed-direct,1024,,,52515000.0,ns,44820987
read_u64,fixed-direct,1024,,,53554700.0,ns,45666666
read_u64,fixed-direct,1024,,,54445700.0,ns,46512345
read_u64,fixed-direct,1024,,,55726500.0,ns,47358024
read_u64,fixed-direct,1024,,,56267600.0,ns,48203703
read_u64,fixed-direct,1024,,,56893200.0,ns,49049382
read_u64,fixed-direct,1024,,,57867900.0,ns,49895061
read_u64,fixed-direct,1024,,,59551400.0,ns,50740740
read_u64,fixed-direct,1024,,,60823700.0,ns,51586419
read_u64,fixed-direct,1024,,,61784700.0,ns,52432098
read_u64,fixed-direct,1024,,,62420800.0,ns,53277777
read_u64,fixed-direct,1024,,,63168400.0,ns,54123456
read_u64,fixed-direct,1024,,,64112100.0,ns,54969135
read_u64,fixed-direct,1024,,,64958600.0,ns,55814814
read_u64,fixed-direct,1024,,,65928400.0,ns,56660493
read_u64,fixed-direct,1024,,,66588900.0,ns,57506172
read_u64,fixed-direct,1024,,,67714800.0,ns,58351851
read_u64,fixed-direct,1024,,,68703300.0,ns,59197530
read_u64,fixed-direct,1024,,,69794100.0,ns,60043209
read_u64,fixed-direct,1024,,,70748000.0,ns,60888888
read_u64,fixed-direct,1024,,,71866700.0,ns,61734567
read_u64,fixed-direct,1024,,,72951300.0,ns,62580246
read_u64,fixed-direct,1024,,,74120600.0,ns,63425925
read_u64,fixed-direct,1024,,,74886500.0,ns,64271604
read_u64,fixed-direct,1024,,,75851900.0,ns,65117283
read_u64,fixed-direct,1024,,,77535900.0,ns,65962962
read_u64,fixed-direct,1024,,,78759400.0,ns,66808641
read_u64,fixed-direct,1024,,,79675800.0,ns,67654320
read_u64,fixed-direct,1024,,,80514500.0,ns,68499999
read_u64,fixed-direct,1024,,,80926400.0,ns,69345678
read_u64,fixed-direct,1024,,,81828500.0,ns,70191357
read_u64,fixed-direct,1024,,,82725600.0,ns,71037036
read_u64,fixed-direct,1024,,,83971700.0,ns,71882715
read_u64,fixed-direct,1024,,,84574100.0,ns,72728394
read_u64,fixed-direct,1024,,,85423000.0,ns,73574073
read_u64,fixed-direct,1024,,,86342800.0,ns,74419752
read_u64,fixed-direct,1024,,,87339600.0,ns,75265431
read_u64,fixed-direct,1024,,,89008500.0,ns,76111110
read_u64,fixed-direct,1024,,,90116200.0,ns,76956789
read_u64,fixed-direct,1024,,,91303200.0,ns,77802468
read_u64,fixed-direct,1024,,,92706300.0,ns,78648147
read_u64,fixed-direct,1024,,,93662200.0,ns,79493826
read_u64,fixed-direct,1024,,,94695100.0,ns,80339505
read_u64,fixed-direct,1024,,,95688100.0,ns,81185184
read_u64,fixed-direct,1024,,,96697500.0,ns,82030863
read_u64,fixed-direct,1024,,,97682600.0,ns,82876542
read_u64,fixed-direct,1024,,,98751600.0,ns,83722221
read_u64,fixed-direct,1024,,,99187300.0,ns,84567900
