group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
read_u64,fixed-direct_unsafe,1024,,,991500.0,ns,849819
read_u64,fixed-direct_unsafe,1024,,,1987600.0,ns,1699638
read_u64,fixed-direct_unsafe,1024,,,2979800.0,ns,2549457
read_u64,fixed-direct_unsafe,1024,,,3972500.0,ns,3399276
read_u64,fixed-direct_unsafe,1024,,,4975200.0,ns,4249095
read_u64,fixed-direct_unsafe,1024,,,5939000.0,ns,5098914
read_u64,fixed-direct_unsafe,1024,,,6936100.0,ns,5948733
read_u64,fixed-direct_unsafe,1024,,,7920200.0,ns,6798552
read_u64,fixed-direct_unsafe,1024,,,8944200.0,ns,7648371
read_u64,fixed-direct_unsafe,1024,,,9928600.0,ns,8498190
read_u64,fixed-direct_unsafe,1024,,,10947300.0,ns,9348009
read_u64,fixed-direct_unsafe,1024,,,11907400.0,ns,10197828
read_u64,fixed-direct_unsafe,1024,,,12890400.0,ns,11047647
read_u64,fixed-direct_unsafe,1024,,,13810800.0,ns,11897466
read_u64,fixed-direct_unsafe,1024,,,14857900.0,ns,12747285
read_u64,fixed-direct_unsafe,1024,,,15843500.0,ns,13597104
read_u64,fixed-direct_unsafe,1024,,,16831600.0,ns,14446923
read_u64,fixed-direct_unsafe,1024,,,17821900.0,ns,15296742
read_u64,fixed-direct_unsafe,1024,,,18805700.0,ns,16146561
read_u64,fixed-direct_unsafe,1024,,,19820500.0,ns,16996380
read_u64,fixed-direct_unsafe,1024,,,20795700.0,ns,17846199
read_u64,fixed-direct_unsafe,1024,,,21796500.0,ns,18696018
read_u64,fixed-direct_unsafe,1024,,,22774700.0,ns,19545837
read_u64,fixed-direct_unsafe,1024,,,23781000.0,ns,20395656
read_u64,fixed-direct_unsafe,1024,,,24748800.0,ns,21245475
read_u64,fixed-direct_unsafe,1024,,,25746000.0,ns,22095294
read_u64,fixed-direct_unsafe,1024,,,26747900.0,ns,22945113
read_u64,fixed-direct_unsafe,1024,,,27754100.0,ns,23794932
read_u64,fixed-direct_unsafe,1024,,,28730000.0,ns,24644751
read_u64,fixed-direct_unsafe,1024,,,29720700.0,ns,25494570
read_u64,fixed-direct_unsafe,1024,,,30706300.0,ns,26344389
read_u64,fixed-direct_unsafe,1024,,,31916200.0,ns,27194208
read_u64,fixed-direct_unsafe,1024,,,32393300.0,ns,28044027
read_u64,fixed-direct_unsafe,1024,,,33323600.0,ns,28893846
read_u64,fixed-direct_unsafe,1024,,,34377600.0,ns,29743665
read_u64,fixed-direct_unsafe,1024,,,35368600.0,ns,30593484
read_u64,fixed-direct_unsafe,1024,,,36262900.0,ns,31443303
read_u64,fixed-direct_unsafe,1024,,,37303700.0,ns,32293122
read_u64,fixed-direct_unsafe,1024,,,38303000.0,ns,33142941
read_u64,fixed-direct_unsafe,1024,,,39324900.0,ns,33992760
read_u64,fixed-direct_unsafe,1024,,,40657000.0,ns,34842579
read_u64,fixed-direct_unsafe,1024,,,41974500.0,ns,35692398
read_u64,fixed-direct_unsafe,1024,,,43182700.0,ns,36542217
read_u64,fixed-direct_unsafe,1024,,,44101200.0,ns,37392036
read_u64,fixed-direct_unsafe,1024,,,45255700.0,ns,38241855
read_u64,fixed-direct_unsafe,1024,,,45233700.0,ns,39091674
read_u64,fixed-direct_unsafe,1024,,,46294300.0,ns,39941493
read_u64,fixed-direct_unsafe,1024,,,47300000.0,ns,40791312
read_u64,fixed-direct_unsafe,1024,,,48306500.0,ns,41641131
read_u64,fixed-direct_unsafe,1024,,,49275600.0,ns,42490950
read_u64,fixed-direct_unsafe,1024,,,50237300.0,ns,43340769
read_u64,fixed-direct_unsafe,1024,,,50941400.0,ns,44190588
read_u64,fixed-direct_unsafe,1024,,,52000800.0,ns,45040407
read_u64,fixed-direct_unsafe,1024,,,53183900.0,ns,45890226
read_u64,fixed-direct_unsafe,1024,,,54070500.0,ns,46740045
read_u64,fixed-direct_unsafe,1024,,,55158400.0,ns,47589864
read_u64,fixed-direct_unsafe,1024,,,56026800.0,ns,48439683
read_u64,fixed-direct_unsafe,1024,,,57044700.0,ns,49289502
read_u64,fixed-direct_unsafe,1024,,,58045900.0,ns,50139321
read_u64,fixed-direct_unsafe,1024,,,59089900.0,ns,50989140
read_u64,fixed-direct_unsafe,1024,,,59994300.0,ns,51838959
read_u64,fixed-direct_unsafe,1024,,,61096900.0,ns,52688778
read_u64,fixed-direct_unsafe,1024,,,61982600.0,ns,53538597
read_u64,fixed-direct_unsafe,1024,,,63097600.0,ns,54388416
read_u64,fixed-direct_unsafe,1024,,,65009100.0,ns,55238235
read_u64,fixed-direct_unsafe,1024,,,66035100.0,ns,56088054
read_u64,fixed-direct_unsafe,1024,,,67111800.0,ns,56937873
read_u64,fixed-direct_unsafe,1024,,,67723300.0,ns,57787692
read_u64,fixed-direct_unsafe,1024,,,68210500.0,ns,58637511
read_u64,fixed-direct_unsafe,1024,,,68977300.0,ns,59487330
read_u64,fixed-direct_unsafe,1024,,,70070200.0,ns,60337149
read_u64,fixed-direct_unsafe,1024,,,71667900.0,ns,61186968
read_u64,fixed-direct_unsafe,1024,,,72474400.0,ns,62036787
read_u64,fixed-direct_unsafe,1024,,,72761300.0,ns,62886606
read_u64,fixed-direct_unsafe,1024,,,73896800.0,ns,63736425
read_u64,fixed-direct_unsafe,1024,,,74954700.0,ns,64586244
read_u64,fixed-direct_unsafe,1024,,,75883600.0,ns,65436063
read_u64,fixed-direct_unsafe,1024,,,76657200.0,ns,66285882
read_u64,fixed-direct_unsafe,1024,,,77780800.0,ns,67135701
read_u64,fixed-direct_unsafe,1024,,,78553700.0,ns,67985520
read_u64,fixed-direct_unsafe,1024,,,79348600.0,ns,68835339
read_u64,fixed-direct_unsafe,1024,,,81812600.0,ns,69685158
read_u64,fixed-direct_unsafe,1024,,,83286400.0,ns,70534977
read_u64,fixed-direct_unsafe,1024,,,83597400.0,ns,71384796
read_u64,fixed-direct_unsafe,1024,,,83963000.0,ns,72234615
read_u64,fixed-direct_unsafe,1024,,,84766300.0,ns,73084434
read_u64,fixed-direct_unsafe,1024,,,85504200.0,ns,73934253
read_u64,fixed-direct_unsafe,1024,,,86298800.0,ns,74784072
read_u64,fixed-direct_unsafe,1024,,,87602800.0,ns,75633891
read_u64,fixed-direct_unsafe,1024,,,88491500.0,ns,76483710
read_u64,fixed-direct_unsafe,1024,,,89585300.0,ns,77333529
read_u64,fixed-direct_unsafe,1024,,,90638000.0,ns,78183348
read_u64,fixed-direct_unsafe,1024,,,91476400.0,ns,79033167
read_u64,fixed-direct_unsafe,1024,,,92486500.0,ns,79882986
read_u64,fixed-direct_unsafe,1024,,,93432100.0,ns,80732805
read_u64,fixed-direct_unsafe,1024,,,96801300.0,ns,81582624
read_u64,fixed-direct_unsafe,1024,,,97147600.0,ns,82432443
read_u64,fixed-direct_unsafe,1024,,,97909000.0,ns,83282262
read_u64,fixed-direct_unsafe,1024,,,98284800.0,ns,84132081
read_u64,fixed-direct_unsafe,1024,,,99479400.0,ns,84981900
