group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
read_u64,fixed-wrapping_v1_unsafe,1024,,,991500.0,ns,849451
read_u64,fixed-wrapping_v1_unsafe,1024,,,1998100.0,ns,1698902
read_u64,fixed-wrapping_v1_unsafe,1024,,,2978700.0,ns,2548353
read_u64,fixed-wrapping_v1_unsafe,1024,,,3972000.0,ns,3397804
read_u64,fixed-wrapping_v1_unsafe,1024,,,4943500.0,ns,4247255
read_u64,fixed-wrapping_v1_unsafe,1024,,,5964900.0,ns,5096706
read_u64,fixed-wrapping_v1_unsafe,1024,,,6957400.0,ns,5946157
read_u64,fixed-wrapping_v1_unsafe,1024,,,7924800.0,ns,6795608
read_u64,fixed-wrapping_v1_unsafe,1024,,,8938600.0,ns,7645059
read_u64,fixed-wrapping_v1_unsafe,1024,,,9923900.0,ns,8494510
read_u64,fixed-wrapping_v1_unsafe,1024,,,10918000.0,ns,9343961
read_u64,fixed-wrapping_v1_unsafe,1024,,,11952900.0,ns,10193412
read_u64,fixed-wrapping_v1_unsafe,1024,,,12933900.0,ns,11042863
read_u64,fixed-wrapping_v1_unsafe,1024,,,13911200.0,ns,11892314
read_u64,fixed-wrapping_v1_unsafe,1024,,,14787300.0,ns,12741765
read_u64,fixed-wrapping_v1_unsafe,1024,,,15770800.0,ns,13591216
read_u64,fixed-wrapping_v1_unsafe,1024,,,16757000.0,ns,14440667
read_u64,fixed-wrapping_v1_unsafe,1024,,,17739900.0,ns,15290118
read_u64,fixed-wrapping_v1_unsafe,1024,,,18700500.0,ns,16139569
read_u64,fixed-wrapping_v1_unsafe,1024,,,19790800.0,ns,16989020
read_u64,fixed-wrapping_v1_unsafe,1024,,,20795000.0,ns,17838471
read_u64,fixed-wrapping_v1_unsafe,1024,,,21709200.0,ns,18687922
read_u64,fixed-wrapping_v1_unsafe,1024,,,22740500.0,ns,19537373
read_u64,fixed-wrapping_v1_unsafe,1024,,,23858200.0,ns,20386824
read_u64,fixed-wrapping_v1_unsafe,1024,,,24874300.0,ns,21236275
read_u64,fixed-wrapping_v1_unsafe,1024,,,26017700.0,ns,22085726
read_u64,fixed-wrapping_v1_unsafe,1024,,,26835800.0,ns,22935177
read_u64,fixed-wrapping_v1_unsafe,1024,,,28010100.0,ns,23784628
read_u64,fixed-wrapping_v1_unsafe,1024,,,28794900.0,ns,24634079
read_u64,fixed-wrapping_v1_unsafe,1024,,,29559500.0,ns,25483530
read_u64,fixed-wrapping_v1_unsafe,1024,,,30508000.0,ns,26332981
read_u64,fixed-wrapping_v1_unsafe,1024,,,31552900.0,ns,27182432
read_u64,fixed-wrapping_v1_unsafe,1024,,,32547100.0,ns,28031883
read_u64,fixed-wrapping_v1_unsafe,1024,,,33603000.0,ns,28881334
read_u64,fixed-wrapping_v1_unsafe,1024,,,34817900.0,ns,29730785
read_u64,fixed-wrapping_v1_unsafe,1024,,,36022100.0,ns,30580236
read_u64,fixed-wrapping_v1_unsafe,1024,,,37052500.0,ns,31429687
read_u64,fixed-wrapping_v1_unsafe,1024,,,38042800.0,ns,32279138
read_u64,fixed-wrapping_v1_unsafe,1024,,,39062200.0,ns,33128589
read_u64,fixed-wrapping_v1_unsafe,1024,,,39828700.0,ns,33978040
read_u64,fixed-wrapping_v1_unsafe,1024,,,40369100.0,ns,34827491
read_u64,fixed-wrapping_v1_unsafe,1024,,,41451000.0,ns,35676942
read_u64,fixed-wrapping_v1_unsafe,1024,,,42416700.0,ns,36526393
read_u64,fixed-wrapping_v1_unsafe,1024,,,43494700.0,ns,37375844
read_u64,fixed-wrapping_v1_unsafe,1024,,,44406800.0,ns,38225295
read_u64,fixed-wrapping_v1_unsafe,1024,,,45511100.0,ns,39074746
read_u64,fixed-wrapping_v1_unsafe,1024,,,46423100.0,ns,39924197
read_u64,fixed-wrapping_v1_unsafe,1024,,,47209700.0,ns,40773648
read_u64,fixed-wrapping_v1_unsafe,1024,,,48368400.0,ns,41623099
read_u64,fixed-wrapping_v1_unsafe,1024,,,49456600.0,ns,42472550
read_u64,fixed-wrapping_v1_unsafe,1024,,,50442600.0,ns,43322001
read_u64,fixed-wrapping_v1_unsafe,1024,,,51147000.0,ns,44171452
read_u64,fixed-wrapping_v1_unsafe,1024,,,52169600.0,ns,45020903
read_u64,fixed-wrapping_v1_unsafe,1024,,,53221500.0,ns,45870354
read_u64,fixed-wrapping_v1_unsafe,1024,,,54149200.0,ns,46719805
read_u64,fixed-wrapping_v1_unsafe,1024,,,55212500.0,ns,47569256
read_u64,fixed-wrapping_v1_unsafe,1024,,,56158600.0,ns,48418707
read_u64,fixed-wrapping_v1_unsafe,1024,,,57188100.0,ns,49268158
read_u64,fixed-wrapping_v1_unsafe,1024,,,58062800.0,ns,50117609
read_u64,fixed-wrapping_v1_unsafe,1024,,,58966900.0,ns,50967060
read_u64,fixed-wrapping_v1_unsafe,1024,,,60744300.0,ns,51816511
read_u64,fixed-wrapping_v1_unsafe,1024,,,62044500.0,ns,52665962
read_u64,fixed-wrapping_v1_unsafe,1024,,,63934600.0,ns,53515413
read_u64,fixed-wrapping_v1_unsafe,1024,,,63632800.0,ns,54364864
read_u64,fixed-wrapping_v1_unsafe,1024,,,64090000.0,ns,55214315
read_u64,fixed-wrapping_v1_unsafe,1024,,,65127800.0,ns,56063766
read_u64,fixed-wrapping_v1_unsafe,1024,,,66332100.0,ns,56913217
read_u64,fixed-wrapping_v1_unsafe,1024,,,67204000.0,ns,57762668
read_u64,fixed-wrapping_v1_unsafe,1024,,,68104500.0,ns,58612119
read_u64,fixed-wrapping_v1_unsafe,1024,,,68938000.0,ns,59461570
read_u64,fixed-wrapping_v1_unsafe,1024,,,69871600.0,ns,60311021
read_u64,fixed-wrapping_v1_unsafe,1024,,,71073000.0,ns,61160472
read_u64,fixed-wrapping_v1_unsafe,1024,,,71916400.0,ns,62009923
read_u64,fixed-wrapping_v1_unsafe,1024,,,72909500.0,ns,62859374
read_u64,fixed-wrapping_v1_unsafe,1024,,,73723600.0,ns,63708825
read_u64,fixed-wrapping_v1_unsafe,1024,,,74631700.0,ns,64558276
read_u64,fixed-wrapping_v1_unsafe,1024,,,75928400.0,ns,65407727
read_u64,fixed-wrapping_v1_unsafe,1024,,,76996600.0,ns,66257178
read_u64,fixed-wrapping_v1_unsafe,1024,,,78984600.0,ns,67106629
read_u64,fixed-wrapping_v1_unsafe,1024,,,80237600.0,ns,67956080
read_u64,fixed-wrapping_v1_unsafe,1024,,,80234400.0,ns,68805531
read_u64,fixed-wrapping_v1_unsafe,1024,,,80924300.0,ns,69654982
read_u64,fixed-wrapping_v1_unsafe,1024,,,82019600.0,ns,70504433
read_u64,fixed-wrapping_v1_unsafe,1024,,,83023600.0,ns,71353884
read_u64,fixed-wrapping_v1_unsafe,1024,,,83670900.0,ns,72203335
read_u64,fixed-wrapping_v1_unsafe,1024,,,84745300.0,ns,73052786
read_u64,fixed-wrapping_v1_unsafe,1024,,,85742200.0,ns,73902237
read_u64,fixed-wrapping_v1_unsafe,1024,,,86587600.0,ns,74751688
read_u64,fixed-wrapping_v1_unsafe,1024,,,87600100.0,ns,75601139
read_u64,fixed-wrapping_v1_unsafe,1024,,,88798200.0,ns,76450590
read_u64,fixed-wrapping_v1_unsafe,1024,,,89617600.0,ns,77300041
read_u64,fixed-wrapping_v1_unsafe,1024,,,90739000.0,ns,78149492
read_u64,fixed-wrapping_v1_unsafe,1024,,,93398100.0,ns,78998943
read_u64,fixed-wrapping_v1_unsafe,1024,,,94139500.0,ns,79848394
read_u64,fixed-wrapping_v1_unsafe,1024,,,94331500.0,ns,80697845
read_u64,fixed-wrapping_v1_unsafe,1024,,,95247300.0,ns,81547296
read_u64,fixed-wrapping_v1_unsafe,1024,,,95789600.0,ns,82396747
read_u64,fixed-wrapping_v1_unsafe,1024,,,96771200.0,ns,83246198
read_u64,fixed-wrapping_v1_unsafe,1024,,,97751500.0,ns,84095649
read_u64,fixed-wrapping_v1_unsafe,1024,,,98663700.0,ns,84945100
