group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
read_u64,wrapping_v1,1024,,,997400.0,ns,325748
read_u64,wrapping_v1,1024,,,1973900.0,ns,651496
read_u64,wrapping_v1,1024,,,2945800.0,ns,977244
read_u64,wrapping_v1,1024,,,3938000.0,ns,1302992
read_u64,wrapping_v1,1024,,,4931000.0,ns,1628740
read_u64,wrapping_v1,1024,,,5922200.0,ns,1954488
read_u64,wrapping_v1,1024,,,6907000.0,ns,2280236
read_u64,wrapping_v1,1024,,,7902400.0,ns,2605984
read_u64,wrapping_v1,1024,,,9162000.0,ns,2931732
read_u64,wrapping_v1,1024,,,9820800.0,ns,3257480
read_u64,wrapping_v1,1024,,,10831800.0,ns,3583228
read_u64,wrapping_v1,1024,,,11857200.0,ns,3908976
read_u64,wrapping_v1,1024,,,12873800.0,ns,4234724
read_u64,wrapping_v1,1024,,,13850600.0,ns,4560472
read_u64,wrapping_v1,1024,,,14837100.0,ns,4886220
read_u64,wrapping_v1,1024,,,15837100.0,ns,5211968
read_u64,wrapping_v1,1024,,,16761600.0,ns,5537716
read_u64,wrapping_v1,1024,,,17756200.0,ns,5863464
read_u64,wrapping_v1,1024,,,18762500.0,ns,6189212
read_u64,wrapping_v1,1024,,,19773800.0,ns,6514960
read_u64,wrapping_v1,1024,,,20781500.0,ns,6840708
read_u64,wrapping_v1,1024,,,21781700.0,ns,7166456
read_u64,wrapping_v1,1024,,,22801400.0,ns,7492204
read_u64,wrapping_v1,1024,,,23758400.0,ns,7817952
read_u64,wrapping_v1,1024,,,24749300.0,ns,8143700
read_u64,wrapping_v1,1024,,,25788600.0,ns,8469448
read_u64,wrapping_v1,1024,,,26730800.0,ns,8795196
read_u64,wrapping_v1,1024,,,27719400.0,ns,9120944
read_u64,wrapping_v1,1024,,,28665500.0,ns,9446692
read_u64,wrapping_v1,1024,,,29724100.0,ns,9772440
read_u64,wrapping_v1,1024,,,30699900.0,ns,10098188
read_u64,wrapping_v1,1024,,,31654400.0,ns,10423936
read_u64,wrapping_v1,1024,,,32671800.0,ns,10749684
read_u64,wrapping_v1,1024,,,33701100.0,ns,11075432
read_u64,wrapping_v1,1024,,,34641500.0,ns,11401180
read_u64,wrapping_v1,1024,,,35754200.0,ns,11726928
read_u64,wrapping_v1,1024,,,37035900.0,ns,12052676
read_u64,wrapping_v1,1024,,,38127100.0,ns,12378424
read_u64,wrapping_v1,1024,,,39176200.0,ns,12704172
read_u64,wrapping_v1,1024,,,40181600.0,ns,13029920
read_u64,wrapping_v1,1024,,,41037700.0,ns,13355668
read_u64,wrapping_v1,1024,,,41682300.0,ns,13681416
read_u64,wrapping_v1,1024,,,42697400.0,ns,14007164
read_u64,wrapping_v1,1024,,,43750500.0,ns,14332912
read_u64,wrapping_v1,1024,,,44505000.0,ns,14658660
read_u64,wrapping_v1,1024,,,45505400.0,ns,14984408
read_u64,wrapping_v1,1024,,,46728700.0,ns,15310156
read_u64,wrapping_v1,1024,,,48061400.0,ns,15635904
read_u64,wrapping_v1,1024,,,48563900.0,ns,15961652
read_u64,wrapping_v1,1024,,,49470500.0,ns,16287400
read_u64,wrapping_v1,1024,,,50537800.0,ns,16613148
read_u64,wrapping_v1,1024,,,51458900.0,ns,16938896
read_u64,wrapping_v1,1024,,,52450300.0,ns,17264644
read_u64,wrapping_v1,1024,,,53458900.0,ns,17590392
read_u64,wrapping_v1,1024,,,54337200.0,ns,17916140
read_u64,wrapping_v1,1024,,,55425200.0,ns,18241888
read_u64,wrapping_v1,1024,,,56438200.0,ns,18567636
read_u64,wrapping_v1,1024,,,57436400.0,ns,18893384
read_u64,wrapping_v1,1024,,,58457400.0,ns,19219132
read_u64,wrapping_v1,1024,,,58972100.0,ns,19544880
read_u64,wrapping_v1,1024,,,60138900.0,ns,19870628
read_u64,wrapping_v1,1024,,,62072000.0,ns,20196376
read_u64,wrapping_v1,1024,,,63226000.0,ns,20522124
read_u64,wrapping_v1,1024,,,64123000.0,ns,20847872
read_u64,wrapping_v1,1024,,,64919400.0,ns,21173620
read_u64,wrapping_v1,1024,,,65665200.0,ns,21499368
read_u64,wrapping_v1,1024,,,66141600.0,ns,21825116
read_u64,wrapping_v1,1024,,,67012500.0,ns,22150864
read_u64,wrapping_v1,1024,,,68112400.0,ns,22476612
read_u64,wrapping_v1,1024,,,69675800.0,ns,22802360
read_u64,wrapping_v1,1024,,,70827600.0,ns,23128108
read_u64,wrapping_v1,1024,,,71010900.0,ns,23453856
read_u64,wrapping_v1,1024,,,72060500.0,ns,23779604
read_u64,wrapping_v1,1024,,,73060400.0,ns,24105352
read_u64,wrapping_v1,1024,,,74107400.0,ns,24431100
read_u64,wrapping_v1,1024,,,74883500.0,ns,24756848
read_u64,wrapping_v1,1024,,,75739800.0,ns,25082596
read_u64,wrapping_v1,1024,,,76671400.0,ns,25408344
read_u64,wrapping_v1,1024,,,78539300.0,ns,25734092
read_u64,wrapping_v1,1024,,,80317800.0,ns,26059840
read_u64,wrapping_v1,1024,,,81237000.0,ns,26385588
read_u64,wrapping_v1,1024,,,80996700.0,ns,26711336
read_u64,wrapping_v1,1024,,,81821300.0,ns,27037084
read_u64,wrapping_v1,1024,,,82554200.0,ns,27362832
read_u64,wrapping_v1,1024,,,83490600.0,ns,27688580
read_u64,wrapping_v1,1024,,,84586700.0,ns,28014328
read_u64,wrapping_v1,1024,,,85806000.0,ns,28340076
read_u64,wrapping_v1,1024,,,86751900.0,ns,28665824
read_u64,wrapping_v1,1024,,,88396500.0,ns,28991572
read_u64,wrapping_v1,1024,,,88789100.0,ns,29317320
read_u64,wrapping_v1,1024,,,89857300.0,ns,29643068
read_u64,wrapping_v1,1024,,,90665900.0,ns,29968816
read_u64,wrapping_v1,1024,,,91990400.0,ns,30294564
read_u64,wrapping_v1,1024,,,94225100.0,ns,30620312
read_u64,wrapping_v1,1024,,,95235900.0,ns,30946060
read_u64,wrapping_v1,1024,,,94669500.0,ns,31271808
read_u64,wrapping_v1,1024,,,95528400.0,ns,31597556
read_u64,wrapping_v1,1024,,,96284400.0,ns,31923304
read_u64,wrapping_v1,1024,,,97248400.0,ns,32249052
read_u64,wrapping_v1,1024,,,98199400.0,ns,32574800
