Executor,Test,Time (s),Full Compilation
WAMR-compiled-chkbounds,2mm,1.5108839,True
WAMR-compiled-chkbounds,3mm,1.4045463,True
WAMR-compiled-chkbounds,adi,1.6081235,True
WAMR-compiled-chkbounds,atax,1.40225,True
WAMR-compiled-chkbounds,bicg,2.4250647,True
WAMR-compiled-chkbounds,cholesky,1.4020209000000001,True
WAMR-compiled-chkbounds,correlation,1.4021433,True
WAMR-compiled-chkbounds,covariance,1.4153208,True
WAMR-compiled-chkbounds,doitgen,1.4022623,True
WAMR-compiled-chkbounds,durbin,1.4231642,True
WAMR-compiled-chkbounds,dynprog,1.5026248,True
WAMR-compiled-chkbounds,fdtd-2d,2.2427474,True
WAMR-compiled-chkbounds,fdtd-apml,2.2433391,True
WAMR-compiled-chkbounds,floyd-warshall,1.3048036,True
WAMR-compiled-chkbounds,gemm,1.7123276,True
WAMR-compiled-chkbounds,gemver,1.9249266,True
WAMR-compiled-chkbounds,gesummv,1.5203735,True
WAMR-compiled-chkbounds,gramschmidt,3.5275952999999998,True
WAMR-compiled-chkbounds,jacobi-1d-imper,1.40225,True
WAMR-compiled-chkbounds,jacobi-2d-imper,1.4037641,True
WAMR-compiled-chkbounds,lu,1.4032901,True
WAMR-compiled-chkbounds,ludcmp,1.401936,True
WAMR-compiled-chkbounds,mvt,1.3019785,True
WAMR-compiled-chkbounds,reg_detect,2.8042901000000002,True
WAMR-compiled-chkbounds,seidel-2d,1.6043007,True
WAMR-compiled-chkbounds,symm,1.5174528,True
WAMR-compiled-chkbounds,syr2k,2.1369231,True
WAMR-compiled-chkbounds,syrk,1.4023739,True
WAMR-compiled-chkbounds,trisolv,1.5142878,True
WAMR-compiled-chkbounds,trmm,1.5031067999999999,True
WAMR-compiled-nobounds,2mm,0.9015544,True
WAMR-compiled-nobounds,3mm,0.90825,True
WAMR-compiled-nobounds,adi,0.9011446,True
WAMR-compiled-nobounds,atax,1.0025617,True
WAMR-compiled-nobounds,bicg,1.1025094,True
WAMR-compiled-nobounds,cholesky,1.008212,True
WAMR-compiled-nobounds,correlation,0.9014334,True
WAMR-compiled-nobounds,covariance,0.901518,True
WAMR-compiled-nobounds,doitgen,1.1020896,True
WAMR-compiled-nobounds,durbin,0.9093157,True
WAMR-compiled-nobounds,dynprog,1.101882,True
WAMR-compiled-nobounds,fdtd-2d,1.5297429999999999,True
WAMR-compiled-nobounds,fdtd-apml,2.556844,True
WAMR-compiled-nobounds,floyd-warshall,0.9022856,True
WAMR-compiled-nobounds,gemm,1.8285676,True
WAMR-compiled-nobounds,gemver,2.1119748,True
WAMR-compiled-nobounds,gesummv,1.020781,True
WAMR-compiled-nobounds,gramschmidt,1.335689,True
